Date,Invoice Value
01-01-2013,9.59
02-01-2013,8.52
03-01-2013,8.18
04-01-2013,8.07
05-01-2013,7.89
06-01-2013,7.78
07-01-2013,8.41
08-01-2013,8.83
09-01-2013,8.38
10-01-2013,8.07
11-01-2013,7.88
12-01-2013,7.76
13-01-2013,7.53
14-01-2013,8.39
15-01-2013,8.62
16-01-2013,7.85
17-01-2013,7.85
18-01-2013,8.05
19-01-2013,7.93
20-01-2013,7.84
21-01-2013,9.7
22-01-2013,9.39
23-01-2013,8.29
24-01-2013,8.43
25-01-2013,8.26
26-01-2013,8.11
27-01-2013,7.95
28-01-2013,9.51
29-01-2013,8.85
30-01-2013,8.43
31-01-2013,8.25
01-02-2013,8.28
02-02-2013,8.29
03-02-2013,8.2
04-02-2013,10
05-02-2013,10.13
06-02-2013,8.93
07-02-2013,8.57
08-02-2013,8.55
09-02-2013,8.4
10-02-2013,8.22
11-02-2013,8.84
12-02-2013,10.9
13-02-2013,9.44
14-02-2013,8.92
15-02-2013,8.54
16-02-2013,8.5
17-02-2013,8.42
18-02-2013,8.57
19-02-2013,8.74
20-02-2013,8.63
21-02-2013,8.67
22-02-2013,8.82
23-02-2013,8.54
24-02-2013,9.7
25-02-2013,12.1
26-02-2013,10.64
27-02-2013,9.69
28-02-2013,9.32
01-03-2013,8.97
02-03-2013,8.59
03-03-2013,8.62
04-03-2013,8.62
05-03-2013,8.22
06-03-2013,8.06
07-03-2013,8.11
08-03-2013,7.8
09-03-2013,7.63
10-03-2013,7.56
11-03-2013,7.71
12-03-2013,7.79
13-03-2013,7.71
14-03-2013,7.77
15-03-2013,7.7
16-03-2013,7.38
17-03-2013,7.91
18-03-2013,7.63
19-03-2013,7.57
20-03-2013,7.57
21-03-2013,7.55
22-03-2013,7.34
23-03-2013,8.12
24-03-2013,7.89
25-03-2013,7.82
26-03-2013,7.38
27-03-2013,7.81
28-03-2013,7.54
29-03-2013,7.55
30-03-2013,7.69
31-03-2013,7.48
01-04-2013,7.36
02-04-2013,7.03
03-04-2013,7.12
04-04-2013,7.35
05-04-2013,7.33
06-04-2013,7.36
07-04-2013,7.28
08-04-2013,7.25
09-04-2013,7
10-04-2013,7.16
11-04-2013,7.76
12-04-2013,7.52
13-04-2013,7.41
14-04-2013,7.44
15-04-2013,7.23
16-04-2013,6.99
17-04-2013,7.21
18-04-2013,7.31
19-04-2013,7.35
20-04-2013,7.51
21-04-2013,7.39
22-04-2013,7.29
23-04-2013,7.27
24-04-2013,7.17
25-04-2013,7.61
26-04-2013,7.62
27-04-2013,7.43
28-04-2013,8.18
29-04-2013,7.4
30-04-2013,7.11
01-05-2013,7.08
02-05-2013,7.42
03-05-2013,7.49
04-05-2013,7.39
05-05-2013,7.68
06-05-2013,7.69
07-05-2013,7.26
08-05-2013,8.14
09-05-2013,8.71
10-05-2013,8.09
11-05-2013,7.84
12-05-2013,7.65
13-05-2013,8.02
14-05-2013,7.83
15-05-2013,7.73
16-05-2013,7.84
17-05-2013,7.63
18-05-2013,7.64
19-05-2013,7.55
20-05-2013,7.44
21-05-2013,7.07
22-05-2013,7.03
23-05-2013,7.39
24-05-2013,7.29
25-05-2013,7.36
26-05-2013,7.51
27-05-2013,7.46
28-05-2013,7.11
29-05-2013,7.13
30-05-2013,7.46
31-05-2013,7.32
01-06-2013,7.41
02-06-2013,7.4
03-06-2013,7.29
04-06-2013,6.99
05-06-2013,6.99
06-06-2013,7.43
07-06-2013,7.36
08-06-2013,7.45
09-06-2013,7.37
10-06-2013,7.14
11-06-2013,6.84
12-06-2013,6.89
13-06-2013,6.97
14-06-2013,7.27
15-06-2013,7.27
16-06-2013,7.27
17-06-2013,7.16
18-06-2013,6.87
19-06-2013,7.15
20-06-2013,7.22
21-06-2013,7.2
22-06-2013,7.21
23-06-2013,7.19
24-06-2013,6.82
25-06-2013,6.88
26-06-2013,7.18
27-06-2013,7.24
28-06-2013,7.19
29-06-2013,7.18
30-06-2013,6.97
01-07-2013,6.92
02-07-2013,7.22
03-07-2013,7.36
04-07-2013,7.24
05-07-2013,7.22
06-07-2013,7.16
07-07-2013,7.24
08-07-2013,6.99
09-07-2013,6.96
10-07-2013,7.25
11-07-2013,7.16
12-07-2013,7.13
13-07-2013,7.09
14-07-2013,7.01
15-07-2013,6.86
16-07-2013,6.83
17-07-2013,7.13
18-07-2013,7.28
19-07-2013,7.04
20-07-2013,6.89
21-07-2013,6.96
22-07-2013,7.3
23-07-2013,7.5
24-07-2013,7.31
25-07-2013,7.2
26-07-2013,7.22
27-07-2013,7.26
28-07-2013,7.43
29-07-2013,7.12
30-07-2013,7.25
31-07-2013,8.28
01-08-2013,7.61
02-08-2013,7.64
03-08-2013,8.01
04-08-2013,7.93
05-08-2013,7.51
06-08-2013,7.52
07-08-2013,7.59
08-08-2013,7.5
09-08-2013,7.37
10-08-2013,7.39
11-08-2013,7.3
12-08-2013,7.28
13-08-2013,7.39
14-08-2013,7.52
15-08-2013,7.91
16-08-2013,7.72
17-08-2013,7.67
18-08-2013,7.63
19-08-2013,7.43
20-08-2013,7.58
21-08-2013,7.95
22-08-2013,7.8
23-08-2013,8.01
24-08-2013,7.79
25-08-2013,7.83
26-08-2013,7.51
27-08-2013,7.63
28-08-2013,7.86
29-08-2013,7.96
30-08-2013,7.75
31-08-2013,8.08
01-09-2013,8.26
02-09-2013,7.77
03-09-2013,8.18
04-09-2013,9.28
05-09-2013,8.34
06-09-2013,7.83
07-09-2013,7.81
08-09-2013,7.82
09-09-2013,7.55
10-09-2013,8.56
11-09-2013,8.21
12-09-2013,8.08
13-09-2013,7.79
14-09-2013,7.67
15-09-2013,7.64
16-09-2013,7.55
17-09-2013,8.25
18-09-2013,8.3
19-09-2013,8.13
20-09-2013,7.71
21-09-2013,7.66
22-09-2013,7.53
23-09-2013,7.93
24-09-2013,7.92
25-09-2013,8.03
26-09-2013,7.73
27-09-2013,7.69
28-09-2013,7.45
29-09-2013,7.39
30-09-2013,7.35
01-10-2013,8.1
02-10-2013,8.16
03-10-2013,7.97
04-10-2013,7.87
05-10-2013,7.64
06-10-2013,7.59
07-10-2013,7.34
08-10-2013,8.18
09-10-2013,8.34
10-10-2013,8.48
11-10-2013,7.87
12-10-2013,7.72
13-10-2013,7.49
14-10-2013,7.38
15-10-2013,8.08
16-10-2013,8.17
17-10-2013,7.59
18-10-2013,7.61
19-10-2013,7.27
20-10-2013,8.04
21-10-2013,8.11
22-10-2013,8.81
23-10-2013,7.75
24-10-2013,7.48
25-10-2013,7.35
26-10-2013,7.25
27-10-2013,7.94
28-10-2013,9.04
29-10-2013,8.04
30-10-2013,7.41
31-10-2013,7.97
01-11-2013,7.77
02-11-2013,7.47
03-11-2013,8.03
04-11-2013,8.73
05-11-2013,7.94
06-11-2013,7.67
07-11-2013,7.58
08-11-2013,7.71
09-11-2013,7.26
10-11-2013,8.05
11-11-2013,8.09
12-11-2013,7.77
13-11-2013,7.5
14-11-2013,7.55
15-11-2013,7.5
